wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.478,270.459,0.8347,0.8378,0.23260894393090403
0,271.474,270.617,0.8261,0.8288,0.3547451984112821
0,271.46,270.315,0.931,0.9361,1.2564960511489651
0,271.459,270.668,0.9284,0.9304,0.233314128677989
0,271.6,270.588,0.8296,0.8338,0.29653724768396955
0,271.77,270.891,0.8272,0.8295,0.36625555108013436
0,271.479,270.368,0.9347,0.9394,1.3540152345602217
0,271.644,270.85,0.9286,0.9304,0.23534463858708127
0,271.651,270.678,0.8269,0.8305,0.3702680833923919
0,271.945,271.053,0.8246,0.8268,0.37318436978988745
0,272.063,270.982,0.9404,0.945,1.4426578903091272
0,271.823,271.024,0.9269,0.9286,0.23666746544436687
0,271.75,270.823,0.8266,0.8295,0.43734348630776054
0,272.218,271.307,0.8235,0.8253,0.3743657110226224
0,272.864,271.801,0.9454,0.9499,1.5114928135499894
0,272.417,271.547,0.9168,0.9196,0.24292673848867857
0,272.676,271.658,0.825,0.8289,0.48684025635665595
0,272.562,271.626,0.8245,0.8278,0.3769853619737627
0,273.181,272.141,0.948,0.9521,1.5672878607883427
0,272.916,271.921,0.9004,0.9039,0.28466754702166386
0,273.177,272.108,0.8202,0.8237,0.5182541438717606
0,271.46,270.524,0.8751,0.8783,0.29569225984408537
0,271.46,270.497,0.8876,0.8908,0.2665277133373782
0,271.459,270.413,0.8817,0.8851,0.2579529706882575
0,271.46,270.487,0.9588,0.9623,0.5368806881045006
0,271.46,270.506,0.8671,0.8702,0.3185837671376056
0,271.46,270.536,0.8914,0.8946,0.29425864082025976
0,271.459,270.416,0.8766,0.88,0.28347524383963946
0,271.46,270.457,0.9557,0.9595,0.47568394915694956
0,271.46,270.497,0.8625,0.8656,0.33703002554389117
0,271.46,270.532,0.89,0.8932,0.31447935839455876
0,271.459,270.396,0.8689,0.8724,0.3002593138329603
0,271.46,270.424,0.9521,0.9562,0.4099059311793528
0,271.46,270.508,0.8618,0.8649,0.3496804209388527
0,271.46,270.459,0.879,0.8822,0.3134837584700179
0,271.459,270.38,0.8645,0.8682,0.31195112500191197
0,271.46,270.376,0.9465,0.951,0.3797488948825542
0,271.46,270.53,0.8641,0.8672,0.3471406137671887
0,271.46,270.388,0.8684,0.8721,0.32083157857168354
0,271.459,270.374,0.864,0.8678,0.31580641707412827
0,271.46,270.336,0.9405,0.9454,0.3565518806116258
0,271.46,270.534,0.8617,0.8647,0.3381760336098464
0,271.46,270.388,0.8716,0.8753,0.35738330622587733
0,271.459,270.386,0.8679,0.8716,0.3207408748145391
0,271.46,270.289,0.9327,0.9381,0.3391236558865668
0,271.46,270.529,0.855,0.858,0.3242844396404481
0,271.46,270.442,0.8874,0.8907,0.4128748349334379
0,271.459,270.448,0.878,0.8812,0.33432527927477784
0,271.46,270.214,0.9182,0.9242,0.43139813289961404
0,271.46,270.524,0.847,0.85,0.3184817445304972
0,271.46,270.518,0.9064,0.9097,0.4758794287549775
0,271.459,270.511,0.8856,0.8888,0.3403795383744704
0,271.46,270.15,0.9001,0.9067,0.5276305874075244
0,271.46,270.525,0.8405,0.8435,0.31857096969913273
0,271.46,270.571,0.9138,0.9168,0.5523810883431142
0,271.459,270.585,0.8961,0.8989,0.33037102374409205
0,271.46,270.146,0.8865,0.893,0.5678730759229708
0,271.46,270.533,0.8382,0.8412,0.3329642640453162
0,271.46,270.54,0.9101,0.9134,0.6984605344332673
0,271.459,270.622,0.9028,0.9053,0.3177801287901577
0,271.46,270.181,0.8742,0.8802,0.5609512422692765
0,271.46,270.541,0.8384,0.8414,0.35830247842025564
0,271.46,270.462,0.9181,0.9215,0.9092160931612729
0,271.459,270.634,0.9067,0.909,0.30975327966227
0,271.46,270.243,0.8602,0.8653,0.42713842137733077
0,271.46,270.552,0.8386,0.8416,0.3733539995819163
0,271.46,270.393,0.9229,0.9271,1.134512295228238
0,271.459,270.644,0.9085,0.9107,0.29790978570663784
0,271.46,270.301,0.849,0.8534,0.2789705964829988
0,271.46,270.566,0.8362,0.8392,0.38170042777095137
0,271.46,270.363,0.9258,0.9303,1.2542540011114907
0,271.459,270.656,0.9099,0.9119,0.2772254031702977
0,271.529,270.388,0.8414,0.8454,0.2632218443607144
0,271.473,270.594,0.8346,0.8376,0.3963637429703314
0,271.46,270.349,0.927,0.9317,1.3366240765195045
0,271.459,270.652,0.9075,0.9096,0.24865193516644318
0,271.747,270.596,0.8371,0.8425,0.3255940611727756
0,272.084,271.134,0.8331,0.8357,0.40738289833939223
0,271.485,270.38,0.929,0.9336,1.4269121973354815
0,271.682,270.819,0.8987,0.9012,0.23463415131568888
0,271.955,270.792,0.8348,0.8399,0.393352164092733
0,272.124,271.19,0.8325,0.8349,0.4071646790698149
0,272.708,271.575,0.9336,0.9389,1.4806461431783535
0,272.409,271.391,0.8815,0.8847,0.23622337903361496
0,272.319,271.126,0.8349,0.8397,0.4482417033339622
0,272.98,271.948,0.8321,0.8357,0.40677106861160545
0,273.334,272.213,0.9381,0.9428,1.537482830528264
0,273.174,271.984,0.8627,0.8678,0.24308606914695643
0,272.797,271.549,0.8321,0.838,0.49384443209454815
0,273.422,272.343,0.8312,0.8344,0.4012541489703415
0,273.763,272.664,0.9424,0.9472,1.603555342548169
0,273.51,272.263,0.8558,0.8609,0.26106494062702346
0,273.767,272.383,0.8292,0.8351,0.519168064527642
0,271.46,270.493,0.8761,0.8793,0.2949413408248484
0,271.46,270.469,0.898,0.9013,0.24083035491222793
0,271.461,270.443,0.881,0.8841,0.17730998863016426
0,271.46,270.54,0.9629,0.9662,0.5335926131757531
0,271.46,270.504,0.8759,0.8791,0.32190156679396126
0,271.46,270.512,0.9046,0.9079,0.27690256101726896
0,271.459,270.505,0.8888,0.892,0.2174822186985362
0,271.46,270.516,0.9609,0.9645,0.5616791666879107
0,271.46,270.488,0.8722,0.8753,0.34434444993958185
0,271.46,270.516,0.905,0.9083,0.2999040447043588
0,271.459,270.511,0.8885,0.8917,0.25514548801068665
0,271.46,270.498,0.9591,0.9626,0.5576729566161737
0,271.46,270.463,0.8655,0.8686,0.3564724957044455
0,271.46,270.534,0.9043,0.9076,0.3140648437539833
0,271.459,270.503,0.8851,0.8882,0.27929802735898607
0,271.46,270.48,0.957,0.9605,0.5036443127877512
0,271.46,270.467,0.862,0.865,0.3601355712705154
0,271.46,270.538,0.8975,0.9008,0.3105355039692454
0,271.459,270.494,0.881,0.8841,0.29704338382628115
0,271.46,270.461,0.9547,0.9584,0.42289456644215917
0,271.46,270.488,0.8612,0.8643,0.3582657176507778
0,271.46,270.486,0.8817,0.8849,0.33447777783442867
0,271.459,270.477,0.8755,0.8786,0.30346683118088236
0,271.46,270.431,0.9511,0.9552,0.3688455792752877
0,271.46,270.491,0.8587,0.8618,0.35196514609984053
0,271.46,270.407,0.8675,0.8709,0.40185935054274396
0,271.459,270.443,0.8678,0.871,0.3029713000871858
0,271.46,270.385,0.9455,0.9499,0.3307390393253557
0,271.46,270.475,0.8549,0.8579,0.3533720995446967
0,271.46,270.374,0.8652,0.8689,0.47008856235309704
0,271.459,270.42,0.8633,0.8666,0.3031560216791667
0,271.46,270.328,0.9375,0.9425,0.36286417889901246
0,271.46,270.477,0.8559,0.859,0.3555168176696426
0,271.46,270.384,0.875,0.8787,0.5449739717436638
0,271.459,270.415,0.8628,0.866,0.3087515104546405
0,271.46,270.264,0.927,0.9326,0.49238460636404885
0,271.46,270.491,0.8563,0.8594,0.36556285785665854
0,271.46,270.457,0.8981,0.9014,0.6788705113366952
0,271.459,270.418,0.8636,0.8668,0.305510087542637
0,271.46,270.164,0.906,0.9125,0.5501547419353194
0,271.46,270.515,0.8577,0.8607,0.36915684764929924
0,271.46,270.532,0.9131,0.9164,0.8871105831247164
0,271.459,270.434,0.8664,0.8695,0.2969160722570908
0,271.46,270.136,0.8906,0.8972,0.5786333763313671
0,271.46,270.535,0.8568,0.8599,0.369502786374552
0,271.46,270.549,0.9148,0.918,1.1179813187989782
0,271.459,270.443,0.8664,0.8696,0.29334604579545515
0,271.46,270.16,0.8789,0.8852,0.5286662621792356
0,271.46,270.543,0.853,0.856,0.38047141480525976
0,271.46,270.498,0.9166,0.92,1.2367617891940674
0,271.459,270.456,0.8669,0.87,0.2893474835953154
0,271.46,270.214,0.8663,0.8719,0.405484237736638
0,271.46,270.54,0.8476,0.8507,0.3981602280085452
0,271.46,270.447,0.921,0.9245,1.3140526581452383
